id,prices.amountMax,prices.amountMin,prices.availability,prices.currency,prices.dateSeen,prices.isSale,prices.merchant,prices.shipping,brand,manufacturer,primaryCategories,weight,,,,,
AVphzgbJLJeJML43fA0o,104.99,104.99,Yes,USD,"2017-03-30T06:00:00Z,2017-03-10T22:00:00Z,2017-03-04T10:00:00Z,2017-03-03T14:00:00Z",FALSE,Bestbuy.com,,Sanus,,Electronics,32.8 pounds,,,,,
AVpgMuGwLJeJML43KY_c,69,64.99,In Stock,USD,2017-12-14T06:00:00Z,TRUE,Walmart.com,Expedited,Boytone,Boytone,Electronics,14 pounds,,,,,
AVpgMuGwLJeJML43KY_c,69,69,In Stock,USD,2017-09-08T05:00:00Z,FALSE,Walmart.com,Expedited,Boytone,Boytone,Electronics,14 pounds,,,,,
AVpgMuGwLJeJML43KY_c,69.99,69.99,Yes,USD,2017-10-10T05:00:00Z,FALSE,Bestbuy.com,,Boytone,Boytone,Electronics,14 pounds,,,,,
AVpgMuGwLJeJML43KY_c,66.99,66.99,Yes,USD,2017-08-28T07:00:00Z,FALSE,Bestbuy.com,,Boytone,Boytone,Electronics,14 pounds,,,,,
AVpgMuGwLJeJML43KY_c,66,66,In Stock,USD,2017-10-24T04:00:00Z,FALSE,Walmart.com,Expedited,Boytone,Boytone,Electronics,14 pounds,,,,,
AVpgMuGwLJeJML43KY_c,74.99,74.99,In Stock,USD,2017-08-15T15:00:00Z,FALSE,California Electronics,Value,Boytone,Boytone,Electronics,14 pounds,,,,,
AVpgMuGwLJeJML43KY_c,65.99,65.99,Yes,USD,2017-08-12T09:00:00Z,FALSE,Bestbuy.com,,Boytone,Boytone,Electronics,14 pounds,,,,,
AVpgMuGwLJeJML43KY_c,69.99,69.99,In Stock,USD,2017-09-14T21:00:00Z,FALSE,Walmart.com,Expedited,Boytone,Boytone,Electronics,14 pounds,,,,,
AVpgMuGwLJeJML43KY_c,69,64,In Stock,USD,2018-01-21T08:00:00Z,TRUE,Walmart.com,Standard,Boytone,Boytone,Electronics,14 pounds,,,,,
AVpgMuGwLJeJML43KY_c,69.99,69.99,TRUE,USD,2018-05-26T07:00:00Z,FALSE,Bestbuy.com,,Boytone,Boytone,Electronics,14 pounds,,,,,
AVpgMuGwLJeJML43KY_c,64.99,64.99,In Stock,USD,2017-07-23T00:00:00Z,FALSE,Walmart.com,Expedited,Boytone,Boytone,Electronics,14 pounds,,,,,
AVpgMuGwLJeJML43KY_c,64.99,64.99,Yes,USD,"2017-08-01T03:00:00Z,2017-07-26T15:00:00Z,2017-05-31T19:00:00Z,2017-05-31T18:00:00Z,2017-05-09T04:00:00Z,2017-05-01T05:00:00Z,2017-05-18T03:00:00Z,2017-04-04T04:00:00Z,2017-03-30T02:00:00Z,2017-03-10T14:00:00Z,2017-03-04T03:00:00Z,2017-03-03T14:00:00Z",FALSE,Bestbuy.com,,Boytone,Boytone,Electronics,14 pounds,,,,,
AVpe9FXeLJeJML43zHrq,23.99,23.99,TRUE,USD,2018-05-26T16:00:00Z,FALSE,Bestbuy.com,,DENAQ,Dantona,Electronics,1.2 pounds,,,,,
AVpe9FXeLJeJML43zHrq,31.99,31.99,TRUE,USD,2015-03-25T22:00:00Z,FALSE,Wayfair - Walmart.com,,DENAQ,Dantona,Electronics,1.2 pounds,,,,,
AVpe9FXeLJeJML43zHrq,20.99,20.99,Yes,USD,2014-10-27T00:00:00Z,TRUE,Bestbuy.com,Free Shipping,DENAQ,Dantona,Electronics,1.2 pounds,,,,,
AVpe9FXeLJeJML43zHrq,34.99,34.99,TRUE,USD,2015-04-23T09:00:00Z,FALSE,Wayfair - Walmart.com,,DENAQ,Dantona,Electronics,1.2 pounds,,,,,
AVpe9FXeLJeJML43zHrq,23.99,23.99,Yes,USD,"2017-10-10T12:00:00Z,2017-09-12T05:00:00Z,2017-09-06T20:00:00Z,2017-08-30T09:00:00Z,2017-09-18T08:00:00Z,2017-08-23T04:00:00Z,2017-07-31T23:00:00Z,2017-08-01T07:00:00Z,2017-07-26T21:00:00Z,2017-06-29T22:00:00Z,2017-06-01T18:00:00Z,2017-06-01T20:00:00Z,2017-05-09T11:00:00Z,2017-05-01T18:00:00Z,2017-03-30T10:00:00Z,2017-03-15T15:00:00Z,2017-03-10T23:00:00Z,2017-03-04T11:00:00Z,2016-11-08T00:00:00Z",FALSE,Bestbuy.com,,DENAQ,Dantona,Electronics,1.2 pounds,,,,,
AVpfVJXu1cnluZ0-iwTT,290.99,290.99,Yes,USD,"2017-08-01T00:00:00Z,2017-08-01T17:00:00Z,2017-07-26T21:00:00Z,2017-05-01T15:00:00Z,2017-05-09T15:00:00Z,2017-05-18T08:00:00Z,2017-03-30T10:00:00Z,2017-03-15T17:00:00Z,2017-03-10T22:00:00Z,2017-03-04T10:00:00Z",FALSE,Bestbuy.com,,DreamWave,,Electronics,13.2 pounds,,,,,
AVpfVJXu1cnluZ0-iwTT,279.99,279.99,Yes,USD,"2017-06-01T17:00:00Z,2017-06-01T19:00:00Z",FALSE,Bestbuy.com,,DreamWave,,Electronics,13.2 pounds,,,,,
AVpfVJXu1cnluZ0-iwTT,299.99,299.99,TRUE,USD,2018-05-26T06:00:00Z,FALSE,Bestbuy.com,,DreamWave,,Electronics,13.2 pounds,,,,,
AVpfVJXu1cnluZ0-iwTT,225.99,225.99,TRUE,USD,2018-05-26T06:00:00Z,TRUE,Bestbuy.com,,DreamWave,,Electronics,13.2 pounds,,,,,
AVpfVJXu1cnluZ0-iwTT,289.99,289.99,Yes,USD,"2017-10-10T20:00:00Z,2017-09-18T13:00:00Z,2017-08-30T07:00:00Z",FALSE,Bestbuy.com,,DreamWave,,Electronics,13.2 pounds,,,,,
AVphUeKeilAPnD_x3-Be,244.01,244.01,In Stock,USD,2018-01-18T12:00:00Z,FALSE,Growkart,Value,Yamaha,YAMAHA,Electronics,1.6 lb 2.6 lb 1.6 lb 18.7 lb,,,,,
AVphUeKeilAPnD_x3-Be,132.99,132.99,Yes,USD,2015-07-02T05:00:00Z,TRUE,Bestbuy.com,Free Shippingon orders 35 and up,Yamaha,YAMAHA,Electronics,1.6 lb 2.6 lb 1.6 lb 18.7 lb,,,,,
AVphUeKeilAPnD_x3-Be,149.99,149.99,Yes,USD,"2017-10-10T19:00:00Z,2017-09-06T17:00:00Z,2017-09-18T14:00:00Z,2017-08-30T07:00:00Z,2017-08-12T09:00:00Z,2017-08-01T05:00:00Z,2017-07-26T15:00:00Z,2017-05-31T19:00:00Z,2017-05-09T04:00:00Z,2017-05-01T05:00:00Z,2017-05-18T03:00:00Z,2017-04-04T04:00:00Z,2017-03-30T02:00:00Z,2017-03-10T15:00:00Z,2017-03-04T03:00:00Z,2017-03-03T14:00:00Z",FALSE,Bestbuy.com,,Yamaha,YAMAHA,Electronics,1.6 lb 2.6 lb 1.6 lb 18.7 lb,,,,,
AVphUeKeilAPnD_x3-Be,149.95,149.95,In Stock,USD,"2018-07-25T22:00:00Z,2017-12-06T21:00:00Z,2017-12-04T20:00:00Z,2018-05-04T10:00:00Z,2018-01-09T20:00:00Z,2017-08-22T04:00:00Z,2017-12-06T22:00:00Z,2017-08-19T02:00:00Z,2017-08-29T04:00:00Z,2017-11-18T10:00:00Z,2018-06-01T09:00:00Z",TRUE,bhphotovideo.com,Free Expedited Shipping,Yamaha,YAMAHA,Electronics,1.6 lb 2.6 lb 1.6 lb 18.7 lb,,,,,
AVphUeKeilAPnD_x3-Be,136.99,136.99,Yes,USD,2015-03-10T19:00:00Z,TRUE,Bestbuy.com,Free Shipping on orders 35 and up,Yamaha,YAMAHA,Electronics,1.6 lb 2.6 lb 1.6 lb 18.7 lb,,,,,
AVpi6aLv1cnluZ0-Rv8A,254.99,254.99,Yes,USD,"2017-03-10T22:00:00Z,2017-03-04T10:00:00Z",TRUE,Bestbuy.com,,Universal Remote Control,,Electronics,1.1 pounds,,,,,
AVpi6aLv1cnluZ0-Rv8A,209.99,209.99,Yes,USD,2017-03-30T06:00:00Z,TRUE,Bestbuy.com,,Universal Remote Control,,Electronics,1.1 pounds,,,,,
AVpi6aLv1cnluZ0-Rv8A,299.98,299.98,undefined,USD,2018-05-26T07:00:00Z,FALSE,Bestbuy.com,,Universal Remote Control,,Electronics,1.1 pounds,,,,,
AVpi6aLv1cnluZ0-Rv8A,239.99,239.99,Yes,USD,"2017-10-10T22:00:00Z,2017-09-12T03:00:00Z,2017-09-06T18:00:00Z,2017-08-30T06:00:00Z,2017-09-18T16:00:00Z,2017-07-31T23:00:00Z,2017-08-01T07:00:00Z,2017-07-26T20:00:00Z,2017-07-11T06:00:00Z,2017-07-07T14:00:00Z,2017-06-01T19:00:00Z,2017-06-01T12:00:00Z,2017-05-09T11:00:00Z,2017-05-01T20:00:00Z,2017-05-18T05:00:00Z",TRUE,Bestbuy.com,,Universal Remote Control,,Electronics,1.1 pounds,,,,,
