model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 SLK,2005,5200,Automatic,63000,Petrol,325,,1.8
 S Class,2017,34948,Automatic,27000,Hybrid,20,61.4,
,2016,49948,Automatic,6200,Petrol,555,28.0,5.5
 G Class,2016,61948,Automatic,16000,Petrol,325,30.4,4.0
 G Class,2016,73948,Automatic,4000,Petrol,325,30.1,4.0
 SL CLASS,,149948,Automatic,3000,Petrol,,21.4,6.2
 GLE Class,2018,30948,Automatic,16000,Diesel,145,47.9,2.1
 S Class,2012,10948,Automatic,107000,Petrol,,36.7,3.5
 G Class,2019,139948,Automatic,,Petrol,,21.4,
 GLA Class,2017,19750,Automatic,15258,Diesel,30,64.2,2.1
,2020,32980,Automatic,,Petrol,145,35.8,2.0
,2020,26980,Automatic,1000,Diesel,145,62.8,1.5
 B Class,2019,23750,Automatic,278,Diesel,145,55.4,2.0
 GLC Class,2019,67980,Automatic,5500,Petrol,145,21.7,4.0
 GLA Class,2016,18980,Automatic,,Diesel,,56.6,2.1
 B Class,2017,15890,Automatic,,Diesel,,68.9,
 C Class,2017,19890,Automatic,30281,Diesel,,60.1,2.1
 GLE Class,,56800,Automatic,2483,Petrol,145,29.5,3.0
 B Class,2017,17513,Automatic,14128,Diesel,,68.9,
 C Class,2014,15701,Automatic,20498,Diesel,20,64.2,2.1
 C Class,2019,26601,Automatic,,Diesel,,64.2,2.0
 C Class,2016,17672,Automatic,,Diesel,30,64.2,2.1
 E Class,2015,20769,Automatic,21874,Diesel,165,51.4,3.0
 E Class,2017,22270,Automatic,,Diesel,165,52.3,3.0
 GL Class,2015,34129,Automatic,13581,Diesel,330,36.2,3.0
,2017,20601,Automatic,,Diesel,150,70.6,2.1
 CLS Class,,25077,Automatic,13887,Diesel,165,,3.0
,2017,21609,Automatic,2780,Diesel,,,2.1
 SL CLASS,2018,22914,Automatic,8725,Petrol,145,,2.0
 C Class,2016,19328,Automatic,25042,Diesel,30,64.2,2.1
 C Class,2019,29546,Automatic,,Diesel,145,54.3,2.0
 GLC Class,2019,35611,Automatic,26153,Diesel,145,45.6,3.0
 C Class,2017,15311,Automatic,31371,Diesel,20,,2.1
,,28128,Automatic,2563,Petrol,145,47.9,
,,23184,Manual,,Petrol,145,,
 A Class,2017,15787,Automatic,24092,Diesel,20,70.6,2.1
 GLC Class,2018,30682,Automatic,14517,Diesel,145,,
 A Class,2019,25701,Automatic,11000,Diesel,150,56.5,2.0
 C Class,2020,31790,Automatic,3500,Petrol,145,64.2,2.0
 A Class,,25190,Automatic,2471,Diesel,145,,2.0
 SLK,,15990,Automatic,43955,Petrol,205,,1.8
 CLS Class,2018,34990,Automatic,18837,Diesel,,47.9,2.9
 GLC Class,,30799,Automatic,9886,Diesel,145,,
 C Class,2017,19743,Automatic,,Diesel,145,,2.1
 C Class,2019,24055,Automatic,,Diesel,145,61.4,2.0
 B Class,2019,20945,Automatic,13661,Petrol,145,45.6,1.3
 C Class,,28524,Automatic,8263,Diesel,145,57.7,2.0
 E Class,2019,24541,Automatic,,Diesel,,67.3,2.0
 E Class,2017,20880,Automatic,37000,Diesel,30,65.7,2.0
 A Class,2006,2880,Automatic,66000,Diesel,,52.3,2.0
,2010,5880,Automatic,,Petrol,,34.0,1.8
,2015,14940,Automatic,43000,Diesel,,,2.1
 SLK,2004,4890,Automatic,,Petrol,330,28.0,3.5
 SL CLASS,2010,16990,Automatic,18000,Petrol,555,29.1,3.5
