CustomerID,Genre,Age,Annual Income (k$),Spending Score (1-100)
1,Male,19.0,15.0,39
2,Male,,,81
3,Female,,16.0,6
4,Female,23.0,16.0,77
5,Female,31.0,17.0,40
6,Female,22.0,17.0,76
7,,135.0,18.0,6
8,Female,23.0,18.0,94
9,Male,135.0,19.0,3
10,Female,30.0,19.0,72
11,Male,,19.0,14
12,Female,35.0,19.0,99
13,Female,58.0,20.0,15
14,Female,24.0,20.0,77
15,Male,37.0,20.0,13
16,Male,22.0,20.0,79
17,Female,35.0,21.0,35
18,Male,20.0,21.0,66
19,Male,52.0,23.0,29
20,Female,35.0,23.0,98
21,Male,35.0,24.0,35
22,Male,25.0,24.0,73
23,Female,46.0,25.0,5
24,Male,,25.0,73
25,Female,54.0,28.0,14
26,Male,29.0,28.0,82
27,Female,45.0,28.0,32
28,Male,35.0,,61
29,Female,40.0,29.0,31
30,Female,23.0,29.0,87
31,Male,60.0,30.0,4
32,Female,21.0,,73
33,,53.0,33.0,4
34,Male,18.0,33.0,92
35,Feemale,49.0,33.0,14
36,Female,,33.0,81
37,Female,,34.0,17
38,Female,30.0,34.0,73
39,Female,,37.0,26
40,Female,20.0,,75
41,Female,65.0,38.0,35
42,Male,24.0,38.0,92
43,Male,48.0,39.0,36
44,Female,31.0,39.0,61
45,Female,49.0,39.0,28
46,Female,,39.0,65
47,Female,,,55
48,Female,27.0,40.0,47
49,Female,29.0,,42
50,Female,31.0,40.0,42
51,,49.0,42.0,52
52,,33.0,42.0,60
53,Female,31.0,43.0,54
54,Male,59.0,43.0,60
55,,50.0,,45
56,Male,47.0,43.0,41
57,,51.0,44.0,50
58,,69.0,44.0,46
59,Female,27.0,46.0,51
60,Male,53.0,46.0,46
61,Male,70.0,46.0,56
62,Male,19.0,46.0,55
63,Female,67.0,47.0,52
64,Female,54.0,47.0,59
65,Male,63.0,48.0,51
66,Feemale,18.0,48.0,59
67,Female,43.0,,50
68,Female,68.0,48.0,48
69,Male,,48.0,59
70,Female,32.0,48.0,47
71,Male,,49.0,55
72,Female,47.0,49.0,42
73,Female,60.0,50.0,49
74,Female,60.0,50.0,56
75,Male,59.0,54.0,47
76,Male,26.0,,54
77,Female,45.0,54.0,53
78,Male,40.0,54.0,48
79,Female,23.0,54.0,52
80,Female,49.0,54.0,42
81,Male,57.0,54.0,51
82,Male,38.0,54.0,55
83,Male,67.0,54.0,41
84,Female,46.0,54.0,44
85,,21.0,54.0,57
86,Male,48.0,54.0,46
87,Female,55.0,57.0,58
88,Female,22.0,57.0,55
89,Female,,58.0,60
90,Female,,58.0,46
91,Female,68.0,59.0,55
92,Male,18.0,59.0,41
93,Male,48.0,60.0,49
94,Female,40.0,60.0,40
95,Female,32.0,60.0,42
96,,24.0,60.0,52
97,Female,47.0,60.0,47
98,Female,27.0,60.0,50
99,Male,48.0,61.0,42
100,Male,20.0,61.0,49
101,Female,23.0,62.0,41
102,Female,49.0,62.0,48
103,Male,67.0,62.0,59
104,Male,26.0,62.0,55
105,Male,49.0,,56
106,Female,21.0,62.0,42
107,,,63.0,50
108,Male,54.0,63.0,46
109,Male,68.0,63.0,43
110,Male,66.0,63.0,48
111,,65.0,63.0,52
112,Female,19.0,63.0,54
113,Female,38.0,64.0,42
114,Male,19.0,64.0,46
115,Female,18.0,65.0,48
116,Female,19.0,65.0,50
117,Female,,65.0,43
118,Female,49.0,65.0,59
119,Female,51.0,67.0,43
120,Female,50.0,67.0,57
121,Male,27.0,67.0,56
122,Female,,67.0,40
123,Female,40.0,69.0,58
124,,39.0,,91
125,Female,23.0,70.0,29
126,Female,31.0,70.0,77
127,Male,43.0,71.0,35
128,Male,40.0,71.0,95
129,Male,59.0,,11
130,,38.0,71.0,75
131,Male,47.0,,9
132,Male,39.0,71.0,75
133,Female,25.0,72.0,34
134,Female,31.0,72.0,71
135,Male,20.0,73.0,5
136,,29.0,73.0,88
137,Female,44.0,73.0,7
138,Male,32.0,73.0,73
139,Male,19.0,,10
140,Female,35.0,74.0,72
141,Female,57.0,75.0,5
142,Male,32.0,75.0,93
143,Female,28.0,76.0,40
144,Female,32.0,,87
145,Male,25.0,77.0,12
146,Male,,77.0,97
147,Male,48.0,77.0,36
148,Female,32.0,77.0,74
149,Female,34.0,78.0,22
150,Male,34.0,78.0,90
151,Male,43.0,78.0,17
152,Male,39.0,78.0,88
153,Female,44.0,78.0,20
154,Female,38.0,78.0,76
155,,47.0,78.0,16
156,Female,27.0,78.0,89
157,Male,37.0,1000000.0,1
158,Female,30.0,78.0,78
159,Male,34.0,78.0,1
160,Female,30.0,78.0,73
161,Female,56.0,79.0,35
162,Female,29.0,79.0,83
163,Male,,81.0,5
164,Female,31.0,81.0,93
165,Male,50.0,,26
166,Female,36.0,85.0,75
