model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 GLC Class,2019.0,45299,Semi-Auto,2792.0,Diesel,145.0,40.4,2.0
unknown,2018.0,19099,Semi-Auto,12321.0,Petrol,145.0,43.4,1.5
 A Class,2019.0,17702,Automatic,9006.0,Diesel,145.0,68.9,1.5
unknown,2014.0,21749,Semi-Auto,27178.0,Diesel,160.0,51.4,2.1999999999999997
 E Class,2018.0,35950,Automatic,36369.333333333336,Diesel,151.66666666666666,42.8,3.0
unknown,2017.0,15700,Semi-Auto,16856.0,Diesel,20.0,68.9,2.1
unknown,2017.0,20250,Automatic,20072.0,Diesel,30.0,70.6,2.1
 A Class,2016.0,16990,Semi-Auto,32029.0,Diesel,20.0,68.9,2.1
 C Class,2019.0,28699,Semi-Auto,1900.0,Petrol,145.0,45.6,1.5
 C Class,2019.0,46390,Automatic,2750.0,Petrol,145.0,29.7,3.0
 A Class,2019.0,25185,Semi-Auto,8294.0,Petrol,145.0,43.76666666666667,1.3
 C Class,2019.0,26289,Automatic,650.0,Petrol,145.0,64.36666666666666,1.6666666666666667
 C Class,2016.0,26495,Semi-Auto,22456.0,Petrol,260.0,54.73333333333333,3.0
 E Class,2018.0,21500,Automatic,13546.666666666666,Diesel,145.0,51.43333333333334,2.1666666666666665
 A Class,2018.6666666666667,22940,Automatic,7088.333333333333,Diesel,145.0,62.8,1.4333333333333333
 A Class,2019.0,22980,Semi-Auto,10562.0,Diesel,145.0,64.76666666666667,1.5
 A Class,2018.3333333333333,20860,Automatic,31033.0,Petrol,200.0,40.9,2.0
unknown,2017.0,24480,Automatic,19402.0,Petrol,96.66666666666667,44.1,2.0
 SL CLASS,2016.3333333333333,19590,Automatic,18061.0,Diesel,23.333333333333332,70.6,2.033333333333333
 CL Class,2016.6666666666667,16822,Semi-Auto,45879.666666666664,Diesel,30.0,62.8,2.1
unknown,2018.6666666666667,36360,Semi-Auto,8584.0,Diesel,145.0,63.63333333333333,2.0
 C Class,2017.0,17400,Automatic,35850.333333333336,Other,0.0,54.46666666666666,2.0666666666666664
 C Class,2018.0,23879,Manual,1000.0,Petrol,145.0,60.800000000000004,1.6
 SLK,2015.0,13240,Semi-Auto,38487.0,Diesel,103.33333333333333,59.599999999999994,2.0
 GLE Class,2019.0,53750,Semi-Auto,4612.0,Diesel,145.0,46.333333333333336,1.9333333333333333
 E Class,2017.0,19200,Automatic,55910.0,Diesel,145.0,67.3,2.0
 E Class,2019.0,26980,Semi-Auto,1506.0,Diesel,145.0,67.3,2.0
 A Class,2016.0,10493,Manual,34609.333333333336,Diesel,30.0,65.7,2.1
 GLA Class,2019.0,24999,Semi-Auto,9146.666666666666,Diesel,145.0,64.2,1.5999999999999999
 E Class,2016.3333333333333,31998,Semi-Auto,21710.666666666668,Diesel,103.33333333333333,70.6,2.0
 A Class,2013.0,11036,Manual,50674.0,Diesel,100.0,51.23333333333333,1.8
 A Class,2016.0,17382,Semi-Auto,29486.0,Diesel,20.0,68.9,2.1
unknown,2019.0,39960,Automatic,5990.0,Petrol,145.0,35.3,2.033333333333333
 GLC Class,2017.0,29991,Semi-Auto,18607.0,Diesel,145.0,56.5,2.1
unknown,2018.6666666666667,24750,Automatic,19735.0,Diesel,145.0,48.7,2.1
 C Class,2017.3333333333333,26480,Semi-Auto,15907.0,Diesel,145.0,61.4,2.0
unknown,2013.0,8498,Manual,21107.0,Diesel,20.0,53.833333333333336,1.5
 X-CLASS,2019.0,22995,Automatic,11479.0,Diesel,145.0,49.73333333333333,2.3
unknown,2019.0,34499,Semi-Auto,138.0,Diesel,145.0,44.8,2.0
