ID,Year_Birth,Dt_Customer,Recency,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,NumWebPurchases,NumStorePurchases,Response
5524,1957,04-09-2012,58,88,546,172,88,8,4,1
2174,1954,08-03-2014,38,1,6,2,1,1,2,0
4141,1965,21-08-2013,26,49,127,111,21,8,10,0
6182,1984,10-02-2014,26,4,20,10,3,2,4,0
5324,1981,19-01-2014,94,43,118,46,27,5,6,0
7446,1967,09-09-2013,16,42,98,0,42,6,10,0
965,1971,13-11-2012,34,65,164,50,49,7,7,0
6177,1985,08-05-2013,32,10,56,3,1,4,4,0
4855,1974,06-06-2013,19,0,24,3,3,3,2,1
5899,1950,13-03-2014,68,0,6,1,1,1,0,0
1994,1983,15-11-2013,11,5,6,0,2,1,2,0
387,1976,13-11-2012,59,16,11,11,1,2,3,0
2125,1959,15-11-2013,82,61,480,225,112,3,8,0
8180,1952,15-11-2013,53,2,53,3,5,6,5,0
2569,1987,10-10-2012,38,14,17,6,1,1,3,0
2114,1946,24-11-2012,23,22,115,59,68,7,12,1
9736,1980,24-12-2012,51,5,19,2,13,3,3,0
4939,1946,31-08-2012,20,5,38,150,12,4,6,0
6565,1949,28-03-2013,91,80,498,0,16,11,9,0
2278,1985,03-11-2012,86,17,19,30,24,2,3,0
9360,1982,08-08-2012,41,2,73,69,38,4,5,0
5376,1979,06-01-2013,42,1,1725,1,1,0,0,0
1993,1949,23-12-2012,63,0,86,0,0,2,9,0
4047,1954,11-01-2014,0,0,102,21,32,6,9,0
1409,1951,18-03-2013,69,3,27,39,6,7,5,0
7892,1969,02-01-2013,89,4,25,15,12,2,3,0
2404,1976,27-05-2013,4,4,30,3,6,5,4,0
5255,1986,20-02-2013,19,1,3,3,263,27,0,0
9422,1989,31-05-2013,26,2,42,20,21,2,4,0
1966,1965,22-11-2013,96,100,801,21,66,6,10,0
6864,1989,22-05-2014,34,4,10,2,2,3,3,0
3033,1963,11-05-2013,56,17,44,34,22,2,3,0
5710,1970,10-10-2012,31,0,5,2,0,2,4,0
7373,1952,29-10-2012,8,12,96,33,22,4,6,1
8755,1946,20-02-2013,4,34,471,119,68,3,9,0
10738,1951,29-08-2013,55,0,19,2,1,2,3,0
4339,1970,31-12-2013,37,17,151,0,8,5,12,0
10755,1976,02-09-2013,76,3,14,15,7,3,2,0
8595,1973,11-02-2014,99,0,6,2,0,1,3,0
2968,1943,01-02-2013,53,8,206,160,49,7,5,1
8601,1980,29-04-2013,3,76,536,82,178,8,5,0
503,1985,12-03-2013,88,1,29,3,0,2,3,0
8430,1957,24-12-2012,4,0,6,3,1,0,3,0
7281,1959,05-11-2013,80,11,50,3,2,1,4,0
2139,1975,02-10-2013,19,1,10,3,2,2,3,0
1371,1976,28-06-2014,72,164,266,227,30,2,9,0
9909,1996,09-11-2012,24,18,14,15,22,3,3,1
7286,1968,24-05-2013,92,6,15,3,5,2,2,0
7244,1951,01-01-2014,96,5,48,6,10,2,4,0
6566,1954,08-11-2012,39,50,317,50,38,5,12,0
8614,1957,12-05-2014,29,19,125,37,67,4,10,0
4114,1964,11-08-2012,2,37,780,27,167,6,13,0
1331,1977,02-01-2013,54,6,20,30,1,2,3,0
2225,1977,07-06-2014,54,120,550,156,40,4,7,1
9381,1978,12-06-2013,57,9,124,12,24,4,10,0
6260,1955,19-11-2012,55,51,432,180,120,3,13,1
10383,1966,02-04-2013,30,35,482,121,120,5,10,1
7437,1988,28-04-2014,31,0,8,2,1,1,4,0
8557,1982,17-06-2013,57,3,22,2,2,2,3,0
8375,1968,03-03-2014,63,0,28,0,0,8,6,0
6853,1982,04-07-2013,12,26,538,69,13,3,11,1
3076,1975,07-09-2012,18,18,102,16,18,4,12,0
1012,1952,18-02-2013,26,7,134,37,14,8,10,0
6518,1951,11-06-2013,8,0,48,0,6,7,8,0
4137,1948,06-12-2013,29,40,367,119,122,7,4,0
8082,1971,21-05-2013,75,3,6,3,6,1,2,1
1386,1967,11-05-2014,0,0,1,0,0,1,2,0
9369,1979,19-03-2014,19,14,309,201,24,11,10,1
4477,1958,27-09-2013,4,49,159,7,82,5,10,0
1357,1970,08-04-2013,90,59,487,58,29,2,5,0
1402,1954,11-09-2012,1,36,460,189,60,4,6,0
10629,1973,14-09-2012,25,3,43,17,4,3,3,0
6312,1959,17-03-2013,29,107,291,84,37,10,13,0
8132,1975,05-04-2013,88,6,65,0,6,9,8,0
1050,1952,30-04-2014,58,10,13,4,15,2,4,0
5846,1977,19-12-2012,68,1,6,2,1,1,2,0
1859,1972,27-08-2012,34,111,925,97,18,7,5,1
7503,1976,12-10-2012,40,105,779,137,105,5,9,1
