SalePrice,GrLivArea,GarageArea,OverallQual,Street,SaleCondition
208500,1710,548,7,Pave,Normal
181500,1262,460,6,Pave,Normal
223500,1786,608,7,Pave,Normal
140000,1717,642,7,Pave,Abnorml
250000,2198,836,8,Pave,Normal
143000,1362,480,5,Pave,Normal
307000,1694,636,8,Pave,Normal
200000,2090,484,7,Pave,Normal
129900,1774,468,7,Pave,Abnorml
118000,1077,205,5,Pave,Normal
129500,1040,384,5,Pave,Normal
345000,2324,736,9,Pave,Partial
144000,912,352,5,Pave,Normal
279500,1494,840,7,Pave,Partial
157000,1253,352,6,Pave,Normal
132000,854,576,7,Pave,Normal
149000,1004,480,6,Pave,Normal
90000,1296,516,4,Pave,Normal
159000,1114,576,5,Pave,Normal
139000,1339,294,5,Pave,Abnorml
325300,2376,853,8,Pave,Partial
139400,1108,280,7,Pave,Normal
230000,1795,534,8,Pave,Normal
129900,1060,572,5,Pave,Normal
154000,1060,270,5,Pave,Normal
256300,1600,890,8,Pave,Normal
134800,900,576,5,Pave,Normal
306000,1704,772,8,Pave,Normal
207500,1600,319,5,Pave,Normal
68500,520,240,4,Pave,Normal
40000,1317,250,4,Pave,Normal
149350,1228,271,5,Pave,Normal
179900,1234,484,8,Pave,Normal
165500,1700,447,5,Pave,Normal
277500,1561,556,9,Pave,Normal
309000,2452,691,8,Pave,Normal
145000,1097,672,5,Pave,Normal
153000,1297,498,5,Pave,Normal
109000,1057,246,5,Pave,Abnorml
82000,1152,0,4,Pave,AdjLand
160000,1324,440,6,Pave,Abnorml
170000,1328,308,5,Pave,Normal
144000,884,504,5,Pave,Normal
130250,938,308,5,Pave,Normal
141000,1150,300,5,Pave,Normal
319900,1752,576,9,Pave,Normal
239686,2149,670,7,Pave,Abnorml
249700,1656,826,8,Pave,Normal
113000,1452,0,4,Pave,Partial
127000,955,386,5,Pave,Normal
177000,1470,388,6,Pave,Normal
114500,1176,528,6,Pave,Normal
110000,816,516,5,Grvl,Normal
385000,1842,894,9,Pave,Normal
130000,1360,572,5,Pave,Normal
180500,1425,576,6,Pave,Normal
172500,1739,480,8,Pave,Abnorml
196500,1720,565,7,Pave,Normal
438780,2945,641,10,Pave,Partial
124900,780,352,5,Pave,Normal
158000,1158,576,6,Pave,Partial
101000,1111,288,5,Pave,Normal
202500,1370,484,8,Pave,Normal
140000,1710,480,7,Pave,Normal
219500,2034,645,7,Pave,Normal
317000,2473,852,8,Pave,Normal
180000,2207,576,7,Pave,Normal
226000,1479,558,7,Pave,Normal
80000,747,220,4,Pave,Normal
225000,2287,667,7,Pave,Normal
244000,2223,516,7,Pave,Normal
129500,845,360,4,Pave,Normal
185000,1718,427,7,Pave,Normal
144900,1086,490,5,Pave,Normal
107400,1605,379,3,Pave,Normal
91000,988,297,4,Pave,Normal
135750,952,283,4,Pave,Normal
127000,1285,240,5,Pave,Normal
136500,1768,0,4,Pave,Normal
110000,1230,440,5,Pave,Normal
193500,2142,509,6,Pave,Normal
153500,1337,405,6,Pave,Normal
245000,1563,758,8,Pave,Normal
126500,1065,461,5,Pave,Normal
168500,1474,400,7,Pave,Normal
260000,2417,462,8,Pave,Normal
174000,1560,400,6,Pave,Normal
164500,1224,528,6,Pave,Partial
85000,1526,0,3,Pave,Abnorml
123600,990,0,4,Pave,Normal
109900,1040,420,4,Pave,Normal
98600,1235,480,5,Pave,Abnorml
163500,964,432,5,Pave,Normal
