LotArea,LotArea_M,Street,BldgType,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,ExterQual,ExterCond,Foundation,TotalBsmtSF,TotalBsmtSF_M,Heating,HeatingQC,CentralAir,GrLivArea,GrLivArea_M,Bath,KitchenQual,GarageArea,GarageArea_M,DateSold,SaleCondition,SalePrice
8450,785.03035,Pave,1Fam,7,5,2003,2003,Gable,Gd,TA,PConc,856,79.524968,GasA,Ex,Y,1710,158.86413,3,Gd,548,50.910844,2/2008,Normal,208500
9600,891.8688,Pave,1Fam,6,8,1976,1976,Gable,TA,TA,CBlock,1262,117.243586,GasA,Ex,Y,1262,117.243586,2,TA,460,42.73538,5/2007,Normal,181500
11250,1045.15875,Pave,1Fam,7,5,2001,2002,Gable,Gd,TA,PConc,920,85.47076,GasA,Ex,Y,1786,165.924758,3,Gd,608,56.485024,9/2008,Normal,223500
9550,887.22365,Pave,1Fam,7,5,1915,1970,Gable,TA,TA,BrkTil,756,70.234668,GasA,Gd,Y,1717,159.514451,1,Gd,642,59.643726,2/2006,Abnorml,140000
14260,1324.79678,Pave,1Fam,8,5,2000,2000,Gable,Gd,TA,PConc,1145,106.373935,GasA,Ex,Y,2198,204.200794,3,Gd,836,77.666908,12/2008,Normal,250000
14115,1311.325845,Pave,1Fam,5,5,1993,1995,Gable,TA,TA,Wood,796,73.950788,GasA,Ex,Y,1362,126.533886,2,TA,480,44.59344,10/2009,Normal,143000
10084,936.833852,Pave,1Fam,8,5,2004,2005,Gable,Gd,TA,PConc,1686,156.634458,GasA,Ex,Y,1694,157.377682,2,Gd,636,59.086308,8/2007,Normal,307000
10382,964.518946,Pave,1Fam,7,6,1973,1973,Gable,TA,TA,CBlock,1107,102.843621,GasA,Ex,Y,2090,194.16727,3,TA,484,44.965052,11/2009,Normal,200000
6120,568.56636,Pave,1Fam,7,5,1931,1950,Gable,TA,TA,BrkTil,952,88.443656,GasA,Gd,Y,1774,164.809922,2,TA,468,43.478604,4/2008,Abnorml,129900
7420,689.34026,Pave,2fmCon,5,6,1939,1950,Gable,TA,TA,BrkTil,991,92.066873,GasA,Ex,Y,1077,100.056531,1,TA,205,19.045115,1/2008,Normal,118000
11200,1040.5136,Pave,1Fam,5,5,1965,1965,Hip,TA,TA,CBlock,1040,96.61912,GasA,Ex,Y,1040,96.61912,1,TA,384,35.674752,2/2008,Normal,129500
11924,1107.775372,Pave,1Fam,9,5,2005,2006,Hip,Ex,TA,PConc,1175,109.161025,GasA,Ex,Y,2324,215.906572,3,Ex,736,68.376608,7/2006,Partial,345000
12968,1204.766104,Pave,1Fam,5,6,1962,1962,Hip,TA,TA,CBlock,912,84.727536,GasA,TA,Y,912,84.727536,1,TA,352,32.701856,9/2008,Normal,144000
10652,989.602756,Pave,1Fam,7,5,2006,2007,Gable,Gd,TA,PConc,1494,138.797082,GasA,Ex,Y,1494,138.797082,2,Gd,840,78.03852,8/2007,Partial,279500
10920,1014.50076,Pave,1Fam,6,5,1960,1960,Hip,TA,TA,CBlock,1253,116.407459,GasA,TA,Y,1253,116.407459,2,TA,352,32.701856,5/2008,Normal,157000
6120,568.56636,Pave,1Fam,7,8,1929,2001,Gable,TA,TA,BrkTil,832,77.295296,GasA,Ex,Y,854,79.339162,1,TA,576,53.512128,7/2007,Normal,132000
11241,1044.322623,Pave,1Fam,6,7,1970,1970,Gable,TA,TA,CBlock,1004,93.274612,GasA,Ex,Y,1004,93.274612,1,TA,480,44.59344,3/2010,Normal,149000
10791,1002.516273,Pave,Duplex,4,5,1967,1967,Gable,TA,TA,Slab,0,0.0,GasA,TA,Y,1296,120.402288,2,TA,516,47.937948,10/2006,Normal,90000
13695,1272.306585,Pave,1Fam,5,5,2004,2004,Gable,TA,TA,PConc,1114,103.493942,GasA,Ex,Y,1114,103.493942,2,Gd,576,53.512128,6/2008,Normal,159000
7560,702.34668,Pave,1Fam,5,6,1958,1965,Hip,TA,TA,CBlock,1029,95.597187,GasA,TA,Y,1339,124.397117,1,TA,294,27.313482,5/2009,Abnorml,139000
14215,1320.616145,Pave,1Fam,8,5,2005,2006,Gable,Gd,TA,PConc,1158,107.581674,GasA,Ex,Y,2376,220.737528,4,Gd,853,79.246259,11/2006,Partial,325300
7449,692.034447,Pave,1Fam,7,7,1930,1950,Gable,TA,TA,PConc,637,59.179211,GasA,Ex,Y,1108,102.936524,1,Gd,280,26.01284,6/2007,Normal,139400
9742,905.061026,Pave,1Fam,8,5,2002,2002,Hip,Gd,TA,PConc,1777,165.088631,GasA,Ex,Y,1795,166.760885,2,Gd,534,49.610202,9/2008,Normal,230000
4224,392.422272,Pave,TwnhsE,5,7,1976,1976,Gable,TA,TA,PConc,1040,96.61912,GasA,TA,Y,1060,98.47718,1,TA,572,53.140516,6/2007,Normal,129900
8246,766.078138,Pave,1Fam,5,8,1968,2001,Gable,TA,Gd,CBlock,1060,98.47718,GasA,Ex,Y,1060,98.47718,1,Gd,270,25.08381,5/2010,Normal,154000
14230,1322.00969,Pave,1Fam,8,5,2007,2007,Gable,Gd,TA,PConc,1566,145.486098,GasA,Ex,Y,1600,148.6448,2,Gd,890,82.68367,7/2009,Normal,256300
7200,668.9016,Pave,1Fam,5,7,1951,2000,Gable,TA,TA,CBlock,900,83.6127,GasA,TA,Y,900,83.6127,1,Gd,576,53.512128,5/2010,Normal,134800
11478,1066.340634,Pave,1Fam,8,5,2007,2008,Gable,Gd,TA,PConc,1704,158.306712,GasA,Ex,Y,1704,158.306712,2,Gd,772,71.721116,5/2010,Normal,306000
16321,1516.269863,Pave,1Fam,5,6,1957,1997,Gable,TA,TA,CBlock,1484,137.868052,GasA,TA,Y,1600,148.6448,1,TA,319,29.636057,12/2006,Normal,207500
6324,587.518572,Pave,1Fam,4,6,1927,1950,Gable,TA,TA,BrkTil,520,48.30956,GasA,Fa,N,520,48.30956,1,Fa,240,22.29672,5/2008,Normal,68500
8500,789.6754999999999,Pave,1Fam,4,4,1920,1950,Gambrel,TA,Fa,BrkTil,649,60.294047,GasA,TA,N,1317,122.353251,1,TA,250,23.22575,7/2008,Normal,40000
8544,793.763232,Pave,1Fam,5,6,1966,2006,Gable,TA,TA,CBlock,1228,114.084884,GasA,Gd,Y,1228,114.084884,2,Gd,271,25.176713,6/2008,Normal,149350
11049,1026.485247,Pave,1Fam,8,5,2007,2007,Gable,Gd,TA,PConc,1234,114.642302,GasA,Ex,Y,1234,114.642302,2,Gd,484,44.965052,1/2008,Normal,179900
10552,980.312456,Pave,1Fam,5,5,1959,1959,Hip,TA,TA,CBlock,1398,129.878394,GasA,Gd,Y,1700,157.9351,2,Gd,447,41.527641,4/2010,Normal,165500
7313,679.399639,Pave,TwnhsE,9,5,2005,2005,Hip,Ex,TA,PConc,1561,145.021583,GasA,Ex,Y,1561,145.021583,2,Ex,556,51.654068,8/2007,Normal,277500
13418,1246.572454,Pave,1Fam,8,5,2004,2005,Gable,Gd,TA,PConc,1117,103.772651,GasA,Ex,Y,2452,227.798156,4,Gd,691,64.195973,9/2006,Normal,309000
10859,1008.833677,Pave,1Fam,5,5,1994,1995,Gable,TA,TA,PConc,1097,101.914591,GasA,Ex,Y,1097,101.914591,2,TA,672,62.430816,6/2009,Normal,145000
8532,792.648396,Pave,1Fam,5,6,1954,1990,Hip,TA,TA,CBlock,1297,120.495191,GasA,Gd,Y,1297,120.495191,1,TA,498,46.265694,10/2009,Normal,153000
7922,735.977566,Pave,1Fam,5,7,1953,2007,Gable,TA,Gd,CBlock,1057,98.198471,GasA,TA,Y,1057,98.198471,1,Gd,246,22.854138,1/2010,Abnorml,109000
6040,561.13412,Pave,Duplex,4,5,1955,1955,Gable,TA,TA,PConc,0,0.0,GasA,TA,N,1152,107.024256,2,Fa,0,0.0,6/2008,AdjLand,82000
8658,804.354174,Pave,1Fam,6,5,1965,1965,Gable,TA,TA,CBlock,1088,101.078464,GasA,Ex,Y,1324,123.003572,2,TA,440,40.87732,12/2006,Abnorml,160000
16905,1570.525215,Pave,1Fam,5,6,1959,1959,Gable,TA,Gd,CBlock,1350,125.41905,GasA,Gd,Y,1328,123.375184,2,TA,308,28.614124,7/2007,Normal,170000
9180,852.84954,Pave,1Fam,5,7,1983,1983,Gable,TA,TA,CBlock,840,78.03852,GasA,Gd,Y,884,82.126252,1,Gd,504,46.823112,12/2007,Normal,144000
9200,854.7076,Pave,1Fam,5,6,1975,1980,Hip,TA,TA,CBlock,938,87.143014,GasA,TA,Y,938,87.143014,1,TA,308,28.614124,7/2008,Normal,130250
7945,738.114335,Pave,1Fam,5,6,1959,1959,Gable,TA,TA,CBlock,1150,106.83845,GasA,Ex,Y,1150,106.83845,1,TA,300,27.8709,5/2006,Normal,141000
7658,711.451174,Pave,TwnhsE,9,5,2005,2005,Hip,Ex,TA,PConc,1752,162.766056,GasA,Ex,Y,1752,162.766056,2,Ex,576,53.512128,2/2010,Normal,319900
12822,1191.202266,Pave,1Fam,7,5,2003,2003,Gable,Gd,TA,PConc,1434,133.222902,GasA,Ex,Y,2149,199.648547,2,Gd,670,62.24501,8/2009,Abnorml,239686
11096,1030.851688,Pave,1Fam,8,5,2006,2006,Gable,Gd,TA,PConc,1656,153.847368,GasA,Ex,Y,1656,153.847368,2,Gd,826,76.737878,7/2007,Normal,249700
4456,413.975768,Pave,2fmCon,4,5,1920,2008,Gable,TA,TA,BrkTil,736,68.376608,GasA,Gd,Y,1452,134.895156,2,TA,0,0.0,6/2009,Partial,113000
7742,719.255026,Pave,1Fam,5,7,1966,1966,Gable,TA,TA,CBlock,955,88.722365,GasA,Ex,Y,955,88.722365,1,TA,386,35.860558,1/2007,Normal,127000
13869,1288.471707,Pave,1Fam,6,6,1997,1997,Gable,TA,TA,PConc,794,73.764982,GasA,Gd,Y,1470,136.56741,2,TA,388,36.046364,7/2007,Normal,177000
6240,579.7147199999999,Pave,1Fam,6,6,1934,1950,Gable,TA,TA,PConc,816,75.808848,GasA,TA,Y,1176,109.253928,1,TA,528,49.052784,9/2006,Normal,114500
8472,787.074216,Grvl,Duplex,5,5,1963,1963,Gable,Fa,TA,CBlock,816,75.808848,GasA,TA,N,816,75.808848,1,TA,516,47.937948,5/2010,Normal,110000
50271,4670.326713,Pave,1Fam,9,5,1981,1987,Gable,Gd,TA,CBlock,1842,171.127326,GasA,Gd,Y,1842,171.127326,1,Gd,894,83.055282,11/2006,Normal,385000
7134,662.770002,Pave,1Fam,5,5,1955,1955,Gable,TA,TA,CBlock,384,35.674752,GasA,TA,Y,1360,126.34808,1,TA,572,53.140516,2/2007,Normal,130000
10175,945.288025,Pave,1Fam,6,5,1964,1964,Gable,TA,TA,CBlock,1425,132.386775,GasA,Gd,Y,1425,132.386775,2,TA,576,53.512128,7/2008,Normal,180500
2645,245.728435,Pave,Twnhs,8,5,1999,2000,Gable,Gd,TA,PConc,970,90.11591,GasA,Ex,Y,1739,161.558317,3,Gd,480,44.59344,8/2009,Abnorml,172500
11645,1081.855435,Pave,1Fam,7,5,2004,2004,Gable,Gd,TA,PConc,860,79.89658,GasA,Ex,Y,1720,159.79316,3,Gd,565,52.490195,8/2006,Normal,196500
13682,1271.098846,Pave,1Fam,10,5,2006,2006,Hip,Ex,TA,PConc,1410,130.99323,GasA,Ex,Y,2945,273.599335,4,Gd,641,59.550823,10/2006,Partial,438780
7200,668.9016,Pave,1Fam,5,7,1972,1972,Gable,TA,TA,CBlock,780,72.46433999999999,GasA,Ex,Y,780,72.46433999999999,1,TA,352,32.701856,1/2008,Normal,124900
13072,1214.428016,Pave,1Fam,6,5,2004,2004,Gable,TA,TA,PConc,1158,107.581674,GasA,Ex,Y,1158,107.581674,2,Gd,576,53.512128,5/2006,Partial,158000
7200,668.9016,Pave,1Fam,5,7,1920,1996,Gable,TA,TA,BrkTil,530,49.23859,GasA,TA,N,1111,103.215233,1,Fa,288,26.756064,3/2007,Normal,101000
6442,598.481126,Pave,TwnhsE,8,5,2006,2006,Gable,Gd,TA,PConc,1370,127.27711,GasA,Ex,Y,1370,127.27711,2,Gd,484,44.965052,10/2007,Normal,202500
10300,956.9009,Pave,1Fam,7,6,1921,1950,Gable,TA,TA,BrkTil,576,53.512128,GasA,Gd,Y,1710,158.86413,2,TA,480,44.59344,4/2010,Normal,140000
9375,870.965625,Pave,1Fam,7,5,1997,1998,Gable,TA,TA,PConc,1057,98.198471,GasA,Ex,Y,2034,188.964702,3,Gd,645,59.922435,2/2009,Normal,219500
9591,891.032673,Pave,1Fam,8,5,2004,2005,Gable,Gd,TA,PConc,1143,106.188129,GasA,Ex,Y,2473,229.749119,3,Gd,852,79.153356,10/2007,Normal,317000
19900,1848.7697,Pave,1Fam,7,5,1970,1989,Gable,TA,TA,CBlock,1947,180.882141,GasA,TA,Y,2207,205.036921,2,TA,576,53.512128,7/2010,Normal,180000
10665,990.810495,Pave,1Fam,7,5,2003,2003,Gable,Gd,TA,PConc,1453,134.988059,GasA,Ex,Y,1479,137.403537,2,Gd,558,51.839874,6/2007,Normal,226000
4608,428.097024,Pave,1Fam,4,6,1945,1950,Gable,TA,Gd,CBlock,747,69.398541,GasA,TA,Y,747,69.398541,1,TA,220,20.43866,6/2010,Normal,80000
15593,1448.636479,Pave,1Fam,7,4,1953,1953,Gable,Gd,TA,CBlock,1304,121.145512,GasW,TA,Y,2287,212.469161,2,TA,667,61.966301,7/2006,Normal,225000
13651,1268.218853,Pave,1Fam,7,6,1973,1973,Gable,TA,Gd,CBlock,2223,206.523369,GasA,Ex,Y,2223,206.523369,2,TA,516,47.937948,2/2007,Normal,244000
7599,705.969897,Pave,1Fam,4,6,1982,2006,Gable,TA,TA,CBlock,845,78.503035,GasA,TA,Y,845,78.503035,1,TA,360,33.44508,6/2007,Normal,129500
10141,942.129323,Pave,1Fam,7,5,1998,1998,Gable,TA,TA,PConc,832,77.295296,GasA,Gd,Y,1718,159.607354,3,TA,427,39.669581,12/2009,Normal,185000
10200,947.6106,Pave,1Fam,5,7,1954,2003,Gable,TA,TA,CBlock,1086,100.892658,GasA,Gd,Y,1086,100.892658,1,TA,490,45.52247,5/2010,Normal,144900
