AGREEMENT_RK,TARGET,AGE,SOCSTATUS_WORK_FL,SOCSTATUS_PENS_FL,GENDER,CHILD_TOTAL,DEPENDANTS,PERSONAL_INCOME,LOAN_NUM_TOTAL,LOAN_NUM_CLOSED,LOAN_DLQ_NUM
59910150,0,49,1,0,1,2,1,5000.0,1,1,2
59910230,0,32,1,0,1,3,3,12000.0,1,1,1
59910525,0,52,1,0,1,4,0,9000.0,2,1,0
59910803,0,39,1,0,1,1,1,25000.0,1,1,3
59911781,0,30,1,0,0,0,0,12000.0,2,1,2
59911784,0,29,1,0,0,0,0,12000.0,2,1,0
59911832,0,35,1,0,0,1,1,15000.0,2,2,0
59912034,0,41,1,0,1,0,0,6000.0,2,1,0
59912560,0,53,1,0,0,2,0,100000.0,1,1,0
59912659,0,43,1,0,1,0,0,7000.0,1,1,0
59912692,0,54,1,0,1,2,0,19000.0,1,1,0
59913108,1,26,1,0,0,0,0,18000.0,2,1,0
59913134,1,62,0,1,0,3,0,7000.0,1,1,0
59913205,0,45,1,0,1,3,1,12000.0,1,1,1
59913395,0,38,1,0,1,0,1,20000.0,2,1,0
59913542,1,41,1,0,1,0,0,60000.0,1,1,0
59913603,0,65,0,1,1,2,0,10000.0,1,1,0
59913652,0,29,1,0,1,1,1,5200.0,1,1,0
59913736,1,34,1,0,0,0,0,35000.0,1,1,1
59913985,0,28,1,0,1,0,0,15000.0,1,1,0
59914132,0,37,1,0,1,1,1,10000.0,1,1,0
59914133,0,42,1,0,1,1,1,10000.0,1,1,0
59914282,0,45,1,0,1,3,2,14000.0,1,1,0
59914348,0,32,1,0,1,0,0,10000.0,1,1,0
59914507,0,33,1,0,1,1,1,8000.0,1,1,0
59914532,0,38,1,0,1,1,1,13000.0,1,1,1
59914562,0,27,1,0,1,0,0,12500.0,1,1,1
59914760,1,31,1,0,1,1,1,12000.0,1,1,2
59914815,0,40,1,0,0,1,1,20000.0,1,1,0
59914912,0,63,0,1,1,0,0,5000.0,1,1,0
59914934,0,40,1,0,1,3,2,11000.0,1,1,0
59914938,0,27,1,0,0,1,1,15000.0,1,1,0
59915134,0,49,1,0,1,2,0,5000.0,1,1,0
59915164,0,29,1,0,0,0,0,10000.0,1,1,0
59915192,0,61,1,0,1,0,0,13000.0,1,1,0
59915193,0,43,1,0,1,2,2,30000.0,1,1,0
59915275,0,38,1,0,0,0,0,23000.0,2,2,0
59915302,0,38,1,0,0,4,4,15000.0,1,1,0
59915312,0,49,1,0,0,2,0,10000.0,1,1,0
59915340,0,44,1,0,1,0,0,13000.0,1,1,0
59915354,0,61,0,1,1,2,0,5000.0,1,1,0
59915402,0,28,1,0,1,1,1,8000.0,2,2,1
59915484,0,31,1,0,0,1,1,20000.0,1,1,0
59915500,0,59,0,1,1,0,0,4000.0,1,1,0
59915564,0,54,1,0,1,2,0,8000.0,2,1,4
59915634,0,48,1,0,1,2,0,13000.0,1,1,0
59915800,0,24,1,0,0,0,0,50000.0,1,1,0
59915970,0,48,1,0,1,0,0,15000.0,1,1,0
59916060,0,43,1,0,1,1,1,20000.0,2,1,2
59916079,0,23,1,0,0,1,1,18000.0,1,1,0
59916196,0,54,1,0,1,2,0,40000.0,1,1,0
59916537,0,37,1,0,0,1,1,10000.0,1,1,0
59916782,0,47,1,0,1,0,0,20000.0,1,1,0
59917047,0,52,0,1,1,1,1,5700.0,2,2,0
59917064,0,24,1,0,0,0,0,15000.0,2,2,1
59917071,0,48,1,0,1,0,0,11000.0,1,1,0
59917104,0,58,0,1,0,2,0,9000.0,1,1,0
59917205,0,34,1,0,1,0,0,9000.0,1,1,0
59917790,0,31,1,0,1,0,0,12800.0,2,1,0
59917807,0,31,1,0,0,1,1,20000.0,1,1,1
59917814,1,35,1,0,1,1,1,15000.0,1,1,1
59917902,0,54,0,1,1,2,0,10000.0,1,1,0
59918129,0,35,1,0,1,1,1,15000.0,1,1,0
59918141,0,61,0,1,1,2,0,5500.0,1,1,0
59918142,0,52,1,0,0,0,1,7000.0,1,1,0
59918152,1,34,1,0,0,2,2,6000.0,1,1,0
59918243,0,44,1,0,0,3,3,11000.0,1,1,0
59918315,0,63,0,1,1,2,0,4800.0,1,1,0
59918616,0,30,1,0,0,0,0,30000.0,1,1,0
59918705,0,27,1,0,1,0,0,5300.0,1,1,0
59918758,0,35,1,0,1,0,0,50000.0,1,1,0
59919115,0,48,1,0,1,2,0,11000.0,1,1,0
59919158,0,29,1,0,1,1,1,11700.0,1,1,0
59919255,0,30,1,0,0,1,1,8000.0,1,1,0
59919426,0,31,1,0,1,1,1,5000.0,2,2,0
59919466,0,51,1,0,1,2,0,7500.0,1,1,0
59919794,0,47,1,0,0,2,1,18000.0,2,2,0
59919854,0,26,1,0,0,0,0,8000.0,1,1,0
59920262,0,44,1,0,0,2,2,20000.0,1,1,0
59920457,1,33,1,0,1,1,1,10000.0,1,1,0
59920692,0,35,1,0,1,0,0,9000.0,1,1,0
59920809,0,51,1,0,1,1,0,11000.0,1,1,0
59920871,0,43,1,0,1,1,1,15000.0,2,2,0
59920924,0,35,1,0,0,1,1,15000.0,1,1,0
59921016,1,27,1,0,1,0,0,10000.0,1,1,0
59921388,0,54,1,0,1,0,0,15000.0,1,1,0
59921422,0,28,1,0,1,1,1,8000.0,1,1,0
59921596,0,53,1,0,0,2,0,25000.0,1,1,0
59921625,0,29,1,0,1,1,1,11000.0,1,1,0
59921843,0,59,1,0,1,1,0,8500.0,1,1,0
59922010,0,56,1,0,0,3,0,4000.0,1,1,0
59922118,0,37,1,1,1,3,3,15000.0,2,1,1
59922128,0,51,1,0,0,1,0,8000.0,1,1,0
59923054,0,63,1,0,0,1,0,10000.0,1,1,0
59923107,0,31,1,0,0,0,0,18000.0,1,1,0
59923159,0,58,1,0,0,3,1,15000.0,1,1,1
59923161,0,48,1,0,0,2,0,12000.0,1,1,1
59923165,0,37,1,0,1,1,1,7300.0,1,1,0
59923241,0,52,1,0,1,0,0,25000.0,1,1,0
59923269,0,52,1,0,1,0,0,8000.0,1,1,0
59923341,0,37,1,0,0,0,0,12000.0,1,1,0
59923386,0,22,1,0,0,1,0,8000.0,1,1,0
59923424,0,36,1,0,1,2,2,10000.0,1,1,0
59923546,0,37,1,0,0,1,1,14500.0,1,1,0
59923557,0,63,0,1,0,2,0,5000.0,1,1,0
59923612,0,26,1,0,0,0,0,10000.0,2,1,1
59923663,1,57,0,1,1,0,0,3000.0,1,1,0
59923678,0,45,1,0,1,1,1,5000.0,1,1,0
59923884,0,22,1,0,0,1,2,12000.0,1,1,0
59924026,0,57,1,1,0,0,0,30000.0,1,1,0
59924048,0,57,0,1,0,0,0,6000.0,1,1,0
59924146,0,39,1,0,0,2,2,27000.0,1,1,0
59924239,0,37,1,0,1,2,2,9000.0,1,1,0
59924607,0,41,1,0,0,0,0,18000.0,1,1,0
59925055,0,34,1,0,0,2,2,6000.0,2,2,0
59925110,0,44,1,0,0,1,0,15000.0,1,1,0
59925185,0,38,1,0,0,1,1,13500.0,1,1,0
59925195,0,40,1,0,1,1,1,6500.0,1,1,0
59925200,0,40,1,0,0,2,2,14000.0,1,1,0
59925263,0,27,1,0,1,1,1,15000.0,1,1,0
59925320,0,29,1,0,0,1,1,20000.0,1,1,0
59925344,0,28,1,0,1,1,1,10000.0,1,1,0
59925421,0,41,1,0,1,2,1,8600.0,1,1,0
59925539,0,39,1,0,1,1,1,35000.0,1,1,0
59925799,0,43,1,0,0,0,0,15000.0,1,1,0
59925843,0,57,0,1,1,0,0,8000.0,2,2,0
59925872,0,50,1,0,1,0,0,15000.0,1,1,0
59925882,0,38,1,0,0,4,4,38000.0,3,2,0
59925955,0,51,1,0,1,0,0,25000.0,1,1,0
