,id,age,gender,education,marital_status,child_total,dependants,socstatus_work_fl,socstatus_pens_fl,reg_address_province,fact_address_province,postal_address_province,fl_presence_fl,own_auto
0,106805103.0,42.0,1.0,Среднее,Не состоял в браке,1.0,0.0,2.0,1.0,Московская область,Московская область,Московская область,1.0,0.0
1,106809308.0,28.0,1.0,Среднее специальное,Состою в браке,1.0,1.0,2.0,1.0,Читинская область,Читинская область,Читинская область,0.0,0.0
2,106805867.0,64.0,0.0,Среднее специальное,Состою в браке,2.0,0.0,2.0,2.0,Иркутская область,Иркутская область,Иркутская область,0.0,1.0
3,106808779.0,54.0,1.0,Среднее специальное,Состою в браке,0.0,0.0,2.0,1.0,Новосибирская область,Новосибирская область,Новосибирская область,1.0,1.0
4,106814289.0,26.0,0.0,Среднее специальное,Состою в браке,1.0,1.0,2.0,1.0,Красноярский край,Красноярский край,Красноярский край,1.0,0.0
5,106814758.0,63.0,1.0,Среднее,Состою в браке,2.0,0.0,1.0,2.0,Иркутская область,Иркутская область,Иркутская область,0.0,0.0
6,106804821.0,32.0,0.0,Среднее специальное,Состою в браке,0.0,0.0,2.0,1.0,Кабардино-Балкария,Кабардино-Балкария,Кабардино-Балкария,0.0,0.0
7,106814344.0,52.0,1.0,Среднее,Состою в браке,1.0,0.0,2.0,1.0,Брянская область,Брянская область,Брянская область,1.0,0.0
8,106809579.0,47.0,0.0,Среднее,Состою в браке,2.0,0.0,2.0,1.0,Рязанская область,Рязанская область,Рязанская область,0.0,0.0
9,106813445.0,23.0,1.0,Среднее специальное,Не состоял в браке,0.0,0.0,2.0,1.0,Ростовская область,Ростовская область,Ростовская область,0.0,0.0
10,106812816.0,42.0,1.0,Среднее специальное,Состою в браке,2.0,1.0,2.0,1.0,Красноярский край,Красноярский край,Красноярский край,0.0,0.0
11,106806676.0,31.0,1.0,Среднее специальное,Не состоял в браке,0.0,0.0,2.0,1.0,Карелия,Карелия,Карелия,1.0,0.0
12,106813305.0,25.0,1.0,Высшее,Состою в браке,0.0,0.0,2.0,1.0,Омская область,Омская область,Омская область,0.0,0.0
