gen_industry,gen_title,job_dir,work_time,id_client
Торговля,Рабочий,Вспомогательный техперсонал,18.0,106804370.0
Торговля,Рабочий,Участие в основ. деятельности,97.0,106804371.0
Информационные технологии,Специалист,Участие в основ. деятельности,84.0,106804372.0
Образование,Руководитель среднего звена,Участие в основ. деятельности,168.0,106804373.0
Государственная служба,Специалист,Участие в основ. деятельности,101.0,106804374.0
Торговля,Специалист,Адм-хоз. и трансп. службы,40.0,106804375.0
Другие сферы,Специалист,Участие в основ. деятельности,6.0,106804376.0
Сельское хозяйство,Рабочий,Участие в основ. деятельности,6.0,106804377.0
Здравоохранение,Руководитель высшего звена,Участие в основ. деятельности,156.0,106804378.0
Образование,Специалист,Участие в основ. деятельности,72.0,106804379.0
Образование,Служащий,Пр-техн. обесп. и телеком.,120.0,106804380.0
Другие сферы,Работник сферы услуг,Участие в основ. деятельности,27.0,106804381.0
Металлургия/Промышленность/Машиностроение,Рабочий,Участие в основ. деятельности,48.0,106804382.0
Государственная служба,Рабочий,Служба безопасности,72.0,106804383.0
Государственная служба,Высококвалифиц. специалист,Участие в основ. деятельности,120.0,106804384.0
Торговля,Индивидуальный предприниматель,Участие в основ. деятельности,168.0,106804385.0
,,,,106804386.0
Коммунальное хоз-во/Дорожные службы,Рабочий,Участие в основ. деятельности,8.0,106804387.0
Строительство,Рабочий,Участие в основ. деятельности,13.0,106804388.0
Металлургия/Промышленность/Машиностроение,Специалист,Участие в основ. деятельности,60.0,106804389.0
Образование,Специалист,Участие в основ. деятельности,192.0,106804390.0
Торговля,Специалист,Участие в основ. деятельности,76.0,106804391.0
Транспорт,Специалист,Участие в основ. деятельности,120.0,106804392.0
Здравоохранение,Специалист,Участие в основ. деятельности,108.0,106804393.0
Металлургия/Промышленность/Машиностроение,Рабочий,Участие в основ. деятельности,24.0,106804394.0
Торговля,Рабочий,Участие в основ. деятельности,18.0,106804395.0
Торговля,Руководитель среднего звена,Участие в основ. деятельности,60.0,106804396.0
Другие сферы,Специалист,Участие в основ. деятельности,15.0,106804397.0
Другие сферы,Рабочий,Участие в основ. деятельности,2.0,106804398.0
,,,,106804399.0
Металлургия/Промышленность/Машиностроение,Рабочий,Участие в основ. деятельности,96.0,106804400.0
Государственная служба,Руководитель среднего звена,Участие в основ. деятельности,108.0,106804401.0
Торговля,Рабочий,Участие в основ. деятельности,20.0,106804402.0
Транспорт,Работник сферы услуг,Участие в основ. деятельности,12.0,106804403.0
Металлургия/Промышленность/Машиностроение,Специалист,Участие в основ. деятельности,96.0,106804404.0
Металлургия/Промышленность/Машиностроение,Рабочий,Вспомогательный техперсонал,12.0,106804405.0
Банк/Финансы,Специалист,Участие в основ. деятельности,6.0,106804406.0
Другие сферы,Руководитель высшего звена,Участие в основ. деятельности,120.0,106804407.0
Ресторанный бизнес/Общественное питание,Рабочий,Участие в основ. деятельности,240.0,106804408.0
Другие сферы,Руководитель высшего звена,Участие в основ. деятельности,180.0,106804409.0
,,,,106804410.0
Торговля,Специалист,Участие в основ. деятельности,3.0,106804411.0
Металлургия/Промышленность/Машиностроение,Рабочий,Пр-техн. обесп. и телеком.,96.0,106804412.0
,,,,106804413.0
Торговля,Специалист,Участие в основ. деятельности,36.0,106804414.0
Государственная служба,Специалист,Участие в основ. деятельности,144.0,106804415.0
Торговля,Специалист,Участие в основ. деятельности,30.0,106804416.0
Образование,Высококвалифиц. специалист,Участие в основ. деятельности,132.0,106804417.0
Образование,Специалист,Участие в основ. деятельности,72.0,106804418.0
Строительство,Специалист,Участие в основ. деятельности,30.0,106804419.0
Торговля,Работник сферы услуг,Участие в основ. деятельности,120.0,106804420.0
Государственная служба,Военнослужащий по контракту,Участие в основ. деятельности,14.0,106804421.0
Строительство,Высококвалифиц. специалист,Участие в основ. деятельности,14.0,106804422.0
,,,,106804423.0
Строительство,Специалист,Участие в основ. деятельности,36.0,106804424.0
Сельское хозяйство,Рабочий,Участие в основ. деятельности,324.0,106804425.0
,,,,106804426.0
Образование,Специалист,Участие в основ. деятельности,29.0,106804427.0
Государственная служба,Военнослужащий по контракту,Участие в основ. деятельности,96.0,106804428.0
Торговля,Рабочий,Участие в основ. деятельности,12.0,106804429.0
Торговля,Рабочий,Участие в основ. деятельности,24.0,106804430.0
,,,,106804431.0
Здравоохранение,Специалист,Участие в основ. деятельности,72.0,106804432.0
,,,,106804433.0
Сельское хозяйство,Рабочий,Участие в основ. деятельности,360.0,106804434.0
Металлургия/Промышленность/Машиностроение,Служащий,Участие в основ. деятельности,180.0,106804435.0
Государственная служба,Рабочий,Пр-техн. обесп. и телеком.,108.0,106804436.0
,,,,106804437.0
Транспорт,Рабочий,Участие в основ. деятельности,48.0,106804438.0
Другие сферы,Специалист,Участие в основ. деятельности,36.0,106804439.0
Государственная служба,Специалист,Участие в основ. деятельности,4.0,106804440.0
Сельское хозяйство,Специалист,Участие в основ. деятельности,120.0,106804441.0
Государственная служба,Военнослужащий по контракту,Участие в основ. деятельности,96.0,106804442.0
Металлургия/Промышленность/Машиностроение,Рабочий,Вспомогательный техперсонал,60.0,106804443.0
Металлургия/Промышленность/Машиностроение,Специалист,Участие в основ. деятельности,24.0,106804444.0
Страхование,Специалист,Участие в основ. деятельности,60.0,106804445.0
Другие сферы,Руководитель среднего звена,Участие в основ. деятельности,252.0,106804446.0
Государственная служба,Специалист,Участие в основ. деятельности,24.0,106804447.0
Нефтегазовая промышленность,Специалист,Участие в основ. деятельности,120.0,106804448.0
Металлургия/Промышленность/Машиностроение,Рабочий,Участие в основ. деятельности,12.0,106804449.0
Банк/Финансы,Специалист,"Бухгалтерия, финансы, планир.",28.0,106804450.0
Коммунальное хоз-во/Дорожные службы,Рабочий,Участие в основ. деятельности,300.0,106804451.0
СМИ/Реклама/PR-агенства,Высококвалифиц. специалист,"Бухгалтерия, финансы, планир.",12.0,106804452.0
Транспорт,Специалист,Участие в основ. деятельности,4.0,106804453.0
Торговля,Рабочий,Участие в основ. деятельности,12.0,106804454.0
Сельское хозяйство,Руководитель среднего звена,Участие в основ. деятельности,36.0,106804455.0
Ресторанный бизнес/Общественное питание,Специалист,Участие в основ. деятельности,12.0,106804456.0
Другие сферы,Специалист,Участие в основ. деятельности,72.0,106804457.0
Другие сферы,Рабочий,Участие в основ. деятельности,12.0,106804458.0
Образование,Рабочий,Вспомогательный техперсонал,48.0,106804459.0
Сельское хозяйство,Рабочий,Участие в основ. деятельности,24.0,106804460.0
Другие сферы,Рабочий,Участие в основ. деятельности,192.0,106804461.0
Другие сферы,Работник сферы услуг,Участие в основ. деятельности,196.0,106804462.0
Государственная служба,Рабочий,Участие в основ. деятельности,24.0,106804463.0
Энергетика,Руководитель низшего звена,Снабжение и сбыт,94.0,106804464.0
Строительство,Руководитель высшего звена,Участие в основ. деятельности,108.0,106804465.0
Металлургия/Промышленность/Машиностроение,Рабочий,Участие в основ. деятельности,25.0,106804466.0
Здравоохранение,Другое,Участие в основ. деятельности,190.0,106804467.0
Сельское хозяйство,Специалист,"Бухгалтерия, финансы, планир.",348.0,106804468.0
Другие сферы,Рабочий,Вспомогательный техперсонал,96.0,106804469.0
Государственная служба,Руководитель среднего звена,Участие в основ. деятельности,120.0,106804470.0
Другие сферы,Специалист,Участие в основ. деятельности,10.0,106804471.0
Торговля,Служащий,Участие в основ. деятельности,205.0,106804472.0
Металлургия/Промышленность/Машиностроение,Рабочий,Участие в основ. деятельности,62.0,106804473.0
,,,,106804474.0
Государственная служба,Специалист,Участие в основ. деятельности,14.0,106804475.0
,,,,106804476.0
Сельское хозяйство,Рабочий,Участие в основ. деятельности,12.0,106804477.0
,,,,106809691.0
Энергетика,Рабочий,Участие в основ. деятельности,19.0,106804478.0
Другие сферы,Рабочий,Участие в основ. деятельности,48.0,106804479.0
,,,,106804480.0
Государственная служба,Военнослужащий по контракту,Участие в основ. деятельности,180.0,106804481.0
Здравоохранение,Работник сферы услуг,Участие в основ. деятельности,120.0,106804482.0
Другие сферы,Высококвалифиц. специалист,Участие в основ. деятельности,252.0,106804483.0
Образование,Служащий,Участие в основ. деятельности,24.0,106804484.0
Строительство,Служащий,Вспомогательный техперсонал,36.0,106804485.0
Государственная служба,Служащий,Служба безопасности,120.0,106804486.0
Образование,Специалист,Участие в основ. деятельности,120.0,106804487.0
Нефтегазовая промышленность,Специалист,Пр-техн. обесп. и телеком.,156.0,106804488.0
Строительство,Руководитель низшего звена,Участие в основ. деятельности,16.0,106804489.0
Государственная служба,Специалист,Участие в основ. деятельности,84.0,106804490.0
Банк/Финансы,Служащий,Участие в основ. деятельности,12.0,106804491.0
Сельское хозяйство,Служащий,Участие в основ. деятельности,38.0,106804492.0
Торговля,Рабочий,Участие в основ. деятельности,72.0,106804493.0
Транспорт,Специалист,Участие в основ. деятельности,144.0,106804494.0
,,,,106804495.0
Образование,Специалист,Участие в основ. деятельности,216.0,106804496.0
Металлургия/Промышленность/Машиностроение,Специалист,Участие в основ. деятельности,36.0,106804497.0
Другие сферы,Специалист,Участие в основ. деятельности,72.0,106804498.0
Транспорт,Рабочий,Участие в основ. деятельности,15.0,106804499.0
Салоны красоты и здоровья,Специалист,Участие в основ. деятельности,70.0,106804500.0
Торговля,Работник сферы услуг,Участие в основ. деятельности,10.0,106804501.0
Другие сферы,Рабочий,Участие в основ. деятельности,24.0,106804502.0
ЧОП/Детективная д-ть,Специалист,Участие в основ. деятельности,48.0,106804503.0
Другие сферы,Служащий,Участие в основ. деятельности,228.0,106804504.0
Коммунальное хоз-во/Дорожные службы,Рабочий,Участие в основ. деятельности,126.0,106804505.0
Государственная служба,Рабочий,Участие в основ. деятельности,3.0,106804506.0
Коммунальное хоз-во/Дорожные службы,Специалист,Участие в основ. деятельности,24.0,106804507.0
Торговля,Высококвалифиц. специалист,"Бухгалтерия, финансы, планир.",24.0,106804508.0
Торговля,Высококвалифиц. специалист,"Бухгалтерия, финансы, планир.",18.0,106804509.0
Ресторанный бизнес/Общественное питание,Рабочий,Вспомогательный техперсонал,120.0,106804510.0
Другие сферы,Специалист,Вспомогательный техперсонал,48.0,106804511.0
,,,,106804512.0
Металлургия/Промышленность/Машиностроение,Рабочий,Участие в основ. деятельности,60.0,106804513.0
Другие сферы,Специалист,Участие в основ. деятельности,120.0,106804514.0
Здравоохранение,Рабочий,Участие в основ. деятельности,312.0,106804515.0
Развлечения/Искусство,Специалист,"Бухгалтерия, финансы, планир.",28.0,106804516.0
Государственная служба,Руководитель среднего звена,Участие в основ. деятельности,42.0,106804517.0
Здравоохранение,Специалист,Участие в основ. деятельности,360.0,106804518.0
Образование,Рабочий,Участие в основ. деятельности,13.0,106804519.0
Торговля,Специалист,"Бухгалтерия, финансы, планир.",30.0,106804520.0
Коммунальное хоз-во/Дорожные службы,Специалист,Участие в основ. деятельности,420.0,106804521.0
Сельское хозяйство,Руководитель высшего звена,"Бухгалтерия, финансы, планир.",7.0,106804522.0
Металлургия/Промышленность/Машиностроение,Рабочий,Участие в основ. деятельности,108.0,106804523.0
Государственная служба,Служащий,Вспомогательный техперсонал,48.0,106804524.0
Сельское хозяйство,Рабочий,Участие в основ. деятельности,360.0,106804525.0
Сельское хозяйство,Рабочий,Вспомогательный техперсонал,180.0,106804526.0
Наука,Специалист,Участие в основ. деятельности,180.0,106804527.0
Нефтегазовая промышленность,Специалист,Участие в основ. деятельности,24.0,106804528.0
Строительство,Специалист,Снабжение и сбыт,12.0,106804529.0
Здравоохранение,Руководитель высшего звена,Участие в основ. деятельности,120.0,106804530.0
Транспорт,Специалист,Участие в основ. деятельности,240.0,106804531.0
Транспорт,Специалист,Участие в основ. деятельности,216.0,106804532.0
Металлургия/Промышленность/Машиностроение,Специалист,Вспомогательный техперсонал,84.0,106804533.0
Торговля,Рабочий,Участие в основ. деятельности,85.0,106804534.0
Строительство,Руководитель среднего звена,Участие в основ. деятельности,27.0,106804535.0
Другие сферы,Рабочий,Участие в основ. деятельности,336.0,106804536.0
Металлургия/Промышленность/Машиностроение,Специалист,Участие в основ. деятельности,40.0,106804537.0
Ресторанный бизнес/Общественное питание,Рабочий,Участие в основ. деятельности,36.0,106804538.0
Транспорт,Специалист,Участие в основ. деятельности,36.0,106804539.0
Сельское хозяйство,Специалист,Участие в основ. деятельности,12.0,106804540.0
Нефтегазовая промышленность,Специалист,Участие в основ. деятельности,12.0,106804541.0
Здравоохранение,Рабочий,Участие в основ. деятельности,468.0,106804542.0
Сельское хозяйство,Рабочий,Вспомогательный техперсонал,96.0,106804543.0
Торговля,Специалист,Участие в основ. деятельности,24.0,106804544.0
Государственная служба,Военнослужащий по контракту,Участие в основ. деятельности,60.0,106804545.0
Торговля,Рабочий,Вспомогательный техперсонал,6.0,106804546.0
Металлургия/Промышленность/Машиностроение,Руководитель среднего звена,Участие в основ. деятельности,120.0,106804547.0
Здравоохранение,Рабочий,Участие в основ. деятельности,36.0,106804548.0
Химия/Парфюмерия/Фармацевтика,Рабочий,Участие в основ. деятельности,18.0,106804549.0
Сельское хозяйство,Руководитель среднего звена,Адм-хоз. и трансп. службы,72.0,106804550.0
Образование,Руководитель высшего звена,Адм-хоз. и трансп. службы,410.0,106804551.0
Другие сферы,Рабочий,Вспомогательный техперсонал,48.0,106804552.0
,,,,106804553.0
Другие сферы,Работник сферы услуг,Участие в основ. деятельности,168.0,106804554.0
Образование,Специалист,Участие в основ. деятельности,60.0,106804555.0
Строительство,Рабочий,Вспомогательный техперсонал,12.0,106804556.0
Сельское хозяйство,Рабочий,Участие в основ. деятельности,23.0,106804557.0
Государственная служба,Специалист,Участие в основ. деятельности,18.0,106804558.0
Другие сферы,Специалист,Участие в основ. деятельности,84.0,106804559.0
Образование,Специалист,Адм-хоз. и трансп. службы,36.0,106804560.0
,,,,106804561.0
Другие сферы,Специалист,Участие в основ. деятельности,12.0,106804562.0
,,,,106804563.0
Государственная служба,Работник сферы услуг,Участие в основ. деятельности,96.0,106804564.0
Нефтегазовая промышленность,Высококвалифиц. специалист,Участие в основ. деятельности,60.0,106804565.0
Торговля,Специалист,Снабжение и сбыт,24.0,106804566.0
,,,,106804567.0
Другие сферы,Рабочий,Вспомогательный техперсонал,6.0,106804568.0
Развлечения/Искусство,Специалист,Участие в основ. деятельности,36.0,106804569.0
Другие сферы,Специалист,Участие в основ. деятельности,50.0,106804570.0
Торговля,Служащий,Участие в основ. деятельности,1.0,106804571.0
Торговля,Рабочий,Участие в основ. деятельности,36.0,106804572.0
Другие сферы,Служащий,Участие в основ. деятельности,30.0,106804573.0
Торговля,Специалист,Участие в основ. деятельности,48.0,106804574.0
ЧОП/Детективная д-ть,Служащий,Адм-хоз. и трансп. службы,24.0,106804575.0
Образование,Служащий,Вспомогательный техперсонал,96.0,106804576.0
Торговля,Рабочий,Участие в основ. деятельности,36.0,106804577.0
Строительство,Специалист,Адм-хоз. и трансп. службы,7.0,106804578.0
Государственная служба,Служащий,Участие в основ. деятельности,38.0,106804579.0
Здравоохранение,Высококвалифиц. специалист,Участие в основ. деятельности,18.0,106804580.0
Здравоохранение,Специалист,Участие в основ. деятельности,240.0,106804581.0
Торговля,Работник сферы услуг,Участие в основ. деятельности,60.0,106804582.0
Транспорт,Рабочий,Участие в основ. деятельности,288.0,106804583.0
Другие сферы,Руководитель среднего звена,Служба безопасности,72.0,106804584.0
Другие сферы,Специалист,Участие в основ. деятельности,4.0,106804639.0
Государственная служба,Военнослужащий по контракту,Участие в основ. деятельности,60.0,106804585.0
Образование,Рабочий,Участие в основ. деятельности,60.0,106804586.0
Коммунальное хоз-во/Дорожные службы,Специалист,Участие в основ. деятельности,8.0,106804587.0
Государственная служба,Военнослужащий по контракту,Участие в основ. деятельности,36.0,106804588.0
Государственная служба,Специалист,Участие в основ. деятельности,120.0,106804589.0
Торговля,Работник сферы услуг,Участие в основ. деятельности,60.0,106804590.0
,,,,106804591.0
Транспорт,Служащий,Участие в основ. деятельности,7.0,106804592.0
Торговля,Рабочий,Участие в основ. деятельности,12.0,106804593.0
Коммунальное хоз-во/Дорожные службы,Рабочий,Участие в основ. деятельности,12.0,106804594.0
Транспорт,Рабочий,Участие в основ. деятельности,216.0,106804595.0
Коммунальное хоз-во/Дорожные службы,Руководитель среднего звена,Участие в основ. деятельности,288.0,106804596.0
Другие сферы,Рабочий,Адм-хоз. и трансп. службы,216.0,106804597.0
Здравоохранение,Высококвалифиц. специалист,Участие в основ. деятельности,49.0,106804598.0
Образование,Специалист,Участие в основ. деятельности,60.0,106804599.0
Нефтегазовая промышленность,Специалист,Участие в основ. деятельности,27.0,106804600.0
Другие сферы,Специалист,Участие в основ. деятельности,36.0,106804601.0
Торговля,Специалист,Участие в основ. деятельности,96.0,106804602.0
,,,,106804603.0
Сельское хозяйство,Специалист,Участие в основ. деятельности,53.0,106804604.0
Транспорт,Специалист,Участие в основ. деятельности,84.0,106804605.0
Образование,Высококвалифиц. специалист,Участие в основ. деятельности,120.0,106804606.0
Торговля,Руководитель высшего звена,"Бухгалтерия, финансы, планир.",84.0,106804607.0
Салоны красоты и здоровья,Специалист,Участие в основ. деятельности,84.0,106804608.0
Торговля,Руководитель высшего звена,Участие в основ. деятельности,18.0,106804609.0
Строительство,Специалист,Участие в основ. деятельности,72.0,106804610.0
