credit,term,fst_payment,id_client
8000.0,6.0,8650.0,106804370.0
21650.0,6.0,4000.0,106804371.0
33126.0,12.0,4000.0,106804372.0
8491.82,6.0,5000.0,106804373.0
21990.0,12.0,4000.0,106804374.0
30615.0,12.0,3500.0,106804375.0
10450.0,3.0,15000.0,106804376.0
15035.0,10.0,465.0,106804377.0
32914.31,4.0,29080.92,106804378.0
4440.0,6.0,540.0,106804379.0
5160.0,3.0,600.0,106804380.0
11751.0,4.0,8389.0,106804381.0
11160.0,3.0,2790.0,106804382.0
5770.0,9.0,1020.0,106804383.0
14513.0,5.0,1462.0,106804384.0
79910.0,5.0,19990.0,106804385.0
4039.0,3.0,500.0,106804386.0
3400.0,6.0,2000.0,106804387.0
7290.0,6.0,1300.0,106804388.0
8918.0,6.0,1000.0,106804389.0
10342.0,6.0,1200.0,106804390.0
19857.0,6.0,6000.0,106804391.0
13000.0,6.0,1500.0,106804392.0
7300.0,6.0,3000.0,106804393.0
12646.0,6.0,1500.0,106804394.0
14619.0,6.0,1625.0,106804395.0
3909.0,3.0,690.0,106804396.0
30198.0,6.0,5752.0,106804397.0
3390.0,6.0,400.0,106804398.0
8000.0,3.0,5300.0,106804399.0
3307.0,4.0,583.0,106804400.0
3490.0,3.0,4500.0,106804401.0
9991.0,6.0,309.0,106804402.0
10000.0,6.0,4700.0,106804403.0
8118.0,3.0,8117.0,106804404.0
26990.0,6.0,9000.0,106804405.0
4869.66,6.0,1385.0,106804406.0
8730.0,10.0,1000.0,106804407.0
19989.0,6.0,2500.0,106804408.0
5119.0,6.0,570.0,106804409.0
13021.0,6.0,3000.0,106804410.0
4550.0,3.0,1000.0,106804411.0
19240.0,36.0,0.0,106804412.0
8880.0,6.0,1000.0,106804413.0
26820.0,10.0,2980.0,106804414.0
13800.0,5.0,5000.0,106804415.0
45665.0,8.0,5100.0,106804416.0
10000.0,6.0,4455.0,106804417.0
18471.0,3.0,10000.0,106804418.0
7850.0,3.0,3000.0,106804419.0
23166.0,5.0,2574.0,106804420.0
7581.0,6.0,1338.0,106804421.0
34335.0,6.0,3815.0,106804422.0
3143.0,3.0,3000.0,106804423.0
10925.0,3.0,2000.0,106804424.0
10570.0,4.0,5000.0,106804425.0
14755.0,6.0,1640.0,106804426.0
6163.0,6.0,1087.0,106804427.0
13441.0,10.0,7049.0,106804428.0
16870.0,6.0,2000.0,106804429.0
16400.0,6.0,3000.0,106804430.0
5500.0,3.0,1000.0,106804431.0
4938.0,6.0,1500.0,106804432.0
17990.0,6.0,5000.0,106804433.0
7920.0,5.0,880.0,106804434.0
3000.0,3.0,790.0,106804435.0
11070.0,6.0,1300.0,106804436.0
3000.0,6.0,2490.95,106804437.0
9500.0,6.0,2500.0,106804438.0
5690.0,6.0,5500.0,106804439.0
9907.2,3.0,2000.0,106804440.0
15598.0,6.0,5000.0,106804441.0
21050.0,12.0,3000.0,106804442.0
5431.2,6.0,168.0,106804443.0
4250.0,4.0,2000.0,106804444.0
5400.0,6.0,3000.0,106804445.0
3750.0,9.0,0.0,106804446.0
4490.0,6.0,500.0,106804447.0
8330.0,5.0,2200.0,106804448.0
7795.0,6.0,7795.0,106804449.0
3307.0,6.0,583.0,106804450.0
21380.0,4.0,5000.0,106804451.0
9990.0,6.0,3000.0,106804452.0
5570.0,4.0,620.0,106804453.0
9997.0,6.0,1120.0,106804454.0
15190.0,6.0,7000.0,106804455.0
3299.0,6.0,370.0,106804456.0
10394.0,6.0,5000.0,106804457.0
6843.0,4.0,4500.0,106804458.0
8990.0,12.0,1000.0,106804459.0
3610.0,10.0,410.0,106804460.0
9137.0,3.0,1500.0,106804461.0
10693.0,6.0,1887.0,106804462.0
7199.0,6.0,800.0,106804463.0
10000.0,6.0,3555.0,106804464.0
21984.55,10.0,3880.0,106804465.0
3140.0,4.0,350.0,106804466.0
10953.0,4.0,11337.0,106804467.0
8442.0,5.0,938.0,106804468.0
5650.0,6.0,630.0,106804469.0
8991.0,9.0,0.0,106804470.0
18900.0,10.0,2100.0,106804471.0
3906.0,6.0,500.0,106804472.0
7452.4,6.0,1900.0,106804473.0
7319.0,6.0,1292.0,106804474.0
20700.0,10.0,3000.0,106804475.0
3280.0,6.0,3000.0,106804476.0
4947.0,6.0,873.0,106804477.0
9621.0,6.0,1069.0,106804478.0
37752.0,6.0,5148.0,106804479.0
16720.0,6.0,2000.0,106804480.0
4950.0,4.0,2000.0,106804481.0
11230.0,4.0,3000.0,106804482.0
16190.0,4.0,1800.0,106804483.0
10000.0,3.0,5670.0,106804484.0
7800.0,5.0,15000.0,106804485.0
3890.0,6.0,700.0,106804486.0
5020.0,3.0,15000.0,106804487.0
9050.0,4.0,12000.0,106804488.0
27000.0,10.0,3000.0,106804489.0
18984.0,5.0,1912.0,106804490.0
4250.0,6.0,4000.0,106804491.0
2881.0,6.0,509.0,106804492.0
34804.0,6.0,4746.0,106804493.0
6898.0,12.0,2000.0,106804494.0
5970.0,3.0,5000.0,106804495.0
14611.0,5.0,769.0,106804496.0
19590.0,8.0,7000.0,106804497.0
3590.0,4.0,1000.0,106804498.0
22072.0,6.0,8008.0,106804499.0
8132.0,5.0,2239.0,106804500.0
27356.0,12.0,4000.0,106804501.0
3500.0,6.0,1000.0,106804502.0
16680.0,3.0,5320.0,106804503.0
3034.0,5.0,535.0,106804504.0
6690.0,3.0,2000.0,106804505.0
6990.0,6.0,6000.0,106804506.0
2090.0,6.0,0.0,106804507.0
7080.0,6.0,1000.0,106804508.0
7380.0,6.0,1302.0,106804509.0
5695.0,6.0,1005.0,106804510.0
9100.0,4.0,6000.0,106804511.0
7360.0,9.0,1000.0,106804512.0
4430.0,5.0,500.0,106804513.0
12500.0,4.0,1457.0,106804514.0
5694.0,12.0,1005.0,106804515.0
17990.0,6.0,3000.0,106804516.0
3690.0,9.0,410.0,106804517.0
13120.0,6.0,13650.0,106804518.0
30471.0,6.0,4000.0,106804519.0
5500.0,6.0,1000.0,106804520.0
43515.0,5.0,30000.0,106804521.0
83106.0,6.0,20000.0,106804522.0
