age,gdr,ch_t,deps,sc_wk_fl,sc_pns,p_inc,agr,target,loan_num_closed,loan_num_total
55.0,0.0,1.0,1.0,2.0,2.0,15000.0,66974609.0,0.0,1.0,1
55.0,1.0,2.0,0.0,2.0,1.0,15000.0,65384399.0,0.0,1.0,1
41.0,0.0,2.0,2.0,2.0,1.0,26000.0,66710090.0,0.0,2.0,2
49.0,1.0,2.0,2.0,2.0,1.0,15000.0,63007720.0,1.0,0.0,1
56.0,0.0,0.0,0.0,2.0,1.0,11000.0,62605610.0,0.0,1.0,1
44.0,1.0,0.0,0.0,2.0,1.0,12000.0,62142959.0,0.0,0.0,1
49.0,1.0,2.0,1.0,2.0,1.0,7000.0,64367877.0,0.0,0.0,1
32.0,1.0,1.0,1.0,2.0,1.0,20000.0,62026911.0,0.0,0.0,1
25.0,1.0,1.0,1.0,2.0,1.0,15000.0,61928502.0,0.0,1.0,1
33.0,1.0,2.0,2.0,2.0,1.0,12000.0,63900675.0,0.0,0.0,1
24.0,1.0,0.0,0.0,2.0,1.0,15000.0,59969405.0,0.0,0.0,1
63.0,1.0,3.0,0.0,1.0,2.0,13000.0,62771158.0,0.0,0.0,1
35.0,1.0,2.0,2.0,2.0,1.0,6500.0,62602653.0,0.0,1.0,1
38.0,1.0,2.0,2.0,2.0,1.0,10000.0,60091695.0,0.0,1.0,1
52.0,1.0,2.0,0.0,2.0,1.0,9000.0,64003340.0,0.0,1.0,1
54.0,1.0,0.0,0.0,1.0,2.0,6000.0,61058162.0,0.0,1.0,1
45.0,1.0,3.0,1.0,2.0,1.0,6000.0,62017535.0,0.0,0.0,1
46.0,1.0,0.0,1.0,2.0,1.0,8500.0,64836539.0,0.0,0.0,1
33.0,0.0,1.0,1.0,2.0,1.0,15000.0,67156279.0,0.0,1.0,1
41.0,0.0,2.0,2.0,2.0,1.0,15000.0,66700100.0,0.0,1.0,1
48.0,0.0,3.0,0.0,2.0,1.0,10000.0,63998685.0,0.0,0.0,1
28.0,1.0,0.0,0.0,2.0,1.0,6000.0,61436237.0,0.0,1.0,1
24.0,0.0,0.0,0.0,2.0,1.0,20000.0,63588427.0,0.0,0.0,1
61.0,1.0,2.0,0.0,1.0,2.0,8500.0,66849130.0,0.0,1.0,1
56.0,0.0,2.0,0.0,2.0,1.0,5000.0,61517680.0,0.0,0.0,1
41.0,1.0,2.0,1.0,2.0,1.0,10000.0,67142051.0,0.0,0.0,1
57.0,0.0,1.0,0.0,2.0,1.0,25000.0,66910377.0,0.0,1.0,1
35.0,1.0,1.0,1.0,2.0,1.0,23000.0,64563866.0,0.0,1.0,1
30.0,0.0,1.0,2.0,2.0,1.0,8000.0,62235172.0,0.0,0.0,1
52.0,1.0,0.0,0.0,1.0,2.0,3500.0,62142616.0,0.0,0.0,1
28.0,1.0,0.0,0.0,2.0,1.0,25000.0,67153245.0,0.0,1.0,1
33.0,0.0,2.0,2.0,2.0,1.0,30000.0,60455295.0,0.0,1.0,1
45.0,1.0,0.0,0.0,2.0,1.0,12000.0,62505716.0,0.0,1.0,1
37.0,1.0,2.0,2.0,2.0,1.0,10500.0,67014646.0,0.0,0.0,1
45.0,0.0,2.0,2.0,2.0,1.0,15000.0,60398458.0,0.0,0.0,1
44.0,1.0,0.0,0.0,2.0,1.0,20000.0,61417317.0,0.0,0.0,1
35.0,1.0,2.0,2.0,2.0,1.0,15000.0,64460882.0,0.0,0.0,1
28.0,1.0,0.0,0.0,2.0,1.0,12000.0,62504045.0,0.0,1.0,1
32.0,0.0,3.0,3.0,2.0,1.0,25000.0,66837039.0,0.0,1.0,1
28.0,1.0,0.0,0.0,2.0,1.0,25000.0,62032444.0,1.0,0.0,1
40.0,0.0,0.0,0.0,2.0,1.0,8000.0,61382161.0,0.0,0.0,1
59.0,0.0,2.0,0.0,1.0,2.0,20000.0,66834022.0,0.0,1.0,1
52.0,1.0,1.0,0.0,1.0,2.0,7300.0,60097523.0,0.0,0.0,1
36.0,1.0,1.0,0.0,2.0,1.0,7800.0,62386925.0,0.0,0.0,1
53.0,1.0,0.0,0.0,2.0,1.0,3000.0,61454441.0,0.0,1.0,1
27.0,1.0,0.0,0.0,2.0,1.0,25000.0,60381768.0,0.0,0.0,1
30.0,1.0,1.0,1.0,2.0,1.0,5300.0,66419740.0,0.0,1.0,1
